interface,kind,generic,class,area,implementation,documentation,example_status,valid_evidence,invalid_evidence,coverage
load_ool_data,export,,,data,R/data_helpers.R,man/load_ool_data.Rd,running,test-load-ool-data.R,test-load-ool-data.R,utility_contract
adjusted_similarity,export,,,metric,R/metrics.R,man/adjusted_similarity.Rd,running,test-phase7.R,test-phase7.R,utility_contract
adjusted_similarity_measure,export,,,metric,R/metrics.R,man/adjusted_similarity_measure.Rd,running,test-phase7.R,test-phase7.R,utility_contract
adjusted_similarity_values,export,,,metric,R/metrics.R,man/adjusted_similarity_values.Rd,running,test-phase7.R,not_applicable-total-set-function,utility_contract
auto_lambda_grid,export,,,selection,R/learner_adapters.R,man/auto_lambda_grid.Rd,running,test-stabl-fit.R,test-input-validation.R,core_contract
boxplot_features,export,,,visualization,R/visualization.R,man/boxplot_features.Rd,running,test-phase7.R,test-phase7.R,utility_contract
classic_bootstrap_indices,export,,,bootstrap,R/bootstrap_helpers.R,man/classic_bootstrap_indices.Rd,running,test-bootstrap-helpers.R,test-bootstrap-helpers.R,core_contract
compute_fdp_plus,export,,,selection,R/fdp_control.R,man/compute_fdp_plus.Rd,running,test-fdp-plus-invariants.R,test-fdp-plus-invariants.R,core_contract
export_stabl_to_csv,export,,,export,R/exports.R,man/export_stabl_to_csv.Rd,runnable_donttest,test-phase7.R,test-phase7.R,utility_contract
fdr_similarity,export,,,metric,R/metrics.R,man/fdr_similarity.Rd,running,test-phase7.R,not_applicable-total-set-function,utility_contract
fscore_similarity,export,,,metric,R/metrics.R,man/fscore_similarity.Rd,running,test-phase7.R,test-phase7.R,utility_contract
get_cooperative_diagnostics,export,,,multiomic,R/stabl_accessors.R,man/get_cooperative_diagnostics.Rd,runnable_donttest,test-multiomic-workflows.R,test-multiomic-workflows.R,accessor_contract
get_cooperative_features,export,,,multiomic,R/stabl_accessors.R,man/get_cooperative_features.Rd,runnable_donttest,test-multiomic-workflows.R,test-multiomic-workflows.R,accessor_contract
get_feature_names_out,export,,,selection,R/stabl_accessors.R,man/get_feature_names_out.Rd,running,test-accessor-roundtrip.R,test-validation-edges.R,accessor_contract
get_importances,export,,,selection,R/stabl_accessors.R,man/get_importances.Rd,running,test-stabl-fit.R,test-stabl-fit.R,accessor_contract
get_stabl_scores,export,,,selection,R/stabl_accessors.R,man/get_stabl_scores.Rd,running,test-accessor-roundtrip.R,test-accessor-roundtrip.R,accessor_contract
get_support,export,,,selection,R/stabl_accessors.R,man/get_support.Rd,running,test-stabl-fit.R,test-stabl-fit.R,accessor_contract
group_bootstrap_indices,export,,,bootstrap,R/bootstrap_helpers.R,man/group_bootstrap_indices.Rd,running,test-bootstrap-helpers.R,test-bootstrap-helpers.R,core_contract
jaccard_matrix,export,,,metric,R/metrics.R,man/jaccard_matrix.Rd,running,test-phase7.R,test-phase7.R,utility_contract
jaccard_similarity,export,,,metric,R/metrics.R,man/jaccard_similarity.Rd,running,test-phase7.R,not_applicable-total-set-function,utility_contract
make_artificial_features,export,,,selection,R/artificial_features.R,man/make_artificial_features.Rd,running,test-artificial-feature-provenance.R,test-artificial-feature-provenance.R,core_contract
make_adaptive_lasso_adapter,export,,,selection,R/learner_adapters.R,man/make_adaptive_lasso_adapter.Rd,running,test-learner-adapters.R,test-learner-adapters.R,core_contract
make_glmnet_adapter,export,,,selection,R/learner_adapters.R,man/make_glmnet_adapter.Rd,running,test-learner-adapters.R,test-learner-adapters.R,core_contract
make_sgl_adapter,export,,,selection,R/learner_adapters.R,man/make_sgl_adapter.Rd,running,test-learner-adapters.R,test-learner-adapters.R,core_contract
pearson_similarity,export,,,metric,R/metrics.R,man/pearson_similarity.Rd,running,test-phase7.R,not_applicable-total-set-function,utility_contract
pearson_similarity_measure,export,,,metric,R/metrics.R,man/pearson_similarity_measure.Rd,running,test-phase7.R,test-phase7.R,utility_contract
pearson_similarity_values,export,,,metric,R/metrics.R,man/pearson_similarity_values.Rd,running,test-phase7.R,not_applicable-total-set-function,utility_contract
plot_fdr_graph,export,,,visualization,R/visualization.R,man/plot_fdr_graph.Rd,runnable_donttest,test-phase7.R,test-phase7.R,utility_contract
plot_prc,export,,,visualization,R/visualization.R,man/plot_prc.Rd,running,test-phase7.R,test-phase7.R,utility_contract
plot_roc,export,,,visualization,R/visualization.R,man/plot_roc.Rd,running,test-phase7.R,test-phase7.R,utility_contract
